Roll_No,Total_Enrolled,Total_Released,Total_Present,Total_Absent,Rows,Bad_Rows,Effective_Enrolled,Attendance_Percent,Below_Threshold,Email,Notification_Message
22,170,0,159,11,1,0,170,93.52941176,FALSE,22@college.edu,"Dear 22, your attendance is 93.5% (159/170). Good Attendance, keep it up!"
23,170,0,161,9,1,0,170,94.70588235,FALSE,23@college.edu,"Dear 23, your attendance is 94.7% (161/170). Good Attendance, keep it up!"
24,170,0,159,11,1,0,170,93.52941176,FALSE,24@college.edu,"Dear 24, your attendance is 93.5% (159/170). Good Attendance, keep it up!"
25,170,0,159,11,1,0,170,93.52941176,FALSE,25@college.edu,"Dear 25, your attendance is 93.5% (159/170). Good Attendance, keep it up!"
26,170,0,164,6,1,0,170,96.47058824,FALSE,26@college.edu,"Dear 26, your attendance is 96.5% (164/170). Good Attendance, keep it up!"
27,170,0,165,5,1,0,170,97.05882353,FALSE,27@college.edu,"Dear 27, your attendance is 97.1% (165/170). Good Attendance, keep it up!"
28,170,0,162,8,1,0,170,95.29411765,FALSE,28@college.edu,"Dear 28, your attendance is 95.3% (162/170). Good Attendance, keep it up!"
29,170,0,156,14,1,0,170,91.76470588,FALSE,29@college.edu,"Dear 29, your attendance is 91.8% (156/170). Good Attendance, keep it up!"
30,170,0,150,20,1,0,170,88.23529412,FALSE,30@college.edu,"Dear 30, your attendance is 88.2% (150/170). Good Attendance, keep it up!"
31,171,0,166,5,1,0,171,97.07602339,FALSE,31@college.edu,"Dear 31, your attendance is 97.1% (166/171). Good Attendance, keep it up!"
32,171,0,162,9,1,0,171,94.73684211,FALSE,32@college.edu,"Dear 32, your attendance is 94.7% (162/171). Good Attendance, keep it up!"
33,171,0,165,6,1,0,171,96.49122807,FALSE,33@college.edu,"Dear 33, your attendance is 96.5% (165/171). Good Attendance, keep it up!"
34,171,0,161,10,1,0,171,94.15204678,FALSE,34@college.edu,"Dear 34, your attendance is 94.2% (161/171). Good Attendance, keep it up!"
35,174,0,163,11,1,0,174,93.67816092,FALSE,35@college.edu,"Dear 35, your attendance is 93.7% (163/174). Good Attendance, keep it up!"
36,174,0,168,6,1,0,174,96.55172414,FALSE,36@college.edu,"Dear 36, your attendance is 96.6% (168/174). Good Attendance, keep it up!"
37,174,0,161,13,1,0,174,92.52873563,FALSE,37@college.edu,"Dear 37, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
38,174,0,166,8,1,0,174,95.40229885,FALSE,38@college.edu,"Dear 38, your attendance is 95.4% (166/174). Good Attendance, keep it up!"
39,174,0,157,17,1,0,174,90.22988506,FALSE,39@college.edu,"Dear 39, your attendance is 90.2% (157/174). Good Attendance, keep it up!"
40,174,0,167,7,1,0,174,95.97701149,FALSE,40@college.edu,"Dear 40, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
41,174,0,164,10,1,0,174,94.25287356,FALSE,41@college.edu,"Dear 41, your attendance is 94.3% (164/174). Good Attendance, keep it up!"
42,174,0,161,13,1,0,174,92.52873563,FALSE,42@college.edu,"Dear 42, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
43,174,0,163,11,1,0,174,93.67816092,FALSE,43@college.edu,"Dear 43, your attendance is 93.7% (163/174). Good Attendance, keep it up!"
44,174,0,160,14,1,0,174,91.95402299,FALSE,44@college.edu,"Dear 44, your attendance is 92.0% (160/174). Good Attendance, keep it up!"
45,174,0,167,7,1,0,174,95.97701149,FALSE,45@college.edu,"Dear 45, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
46,174,0,125,49,1,0,174,71.83908046,TRUE,46@college.edu,"Dear 46, your attendance is 71.8% (125/174). Please improve to reach at least 75%."
47,174,0,152,22,1,0,174,87.35632184,FALSE,47@college.edu,"Dear 47, your attendance is 87.4% (152/174). Good Attendance, keep it up!"
48,174,0,161,13,1,0,174,92.52873563,FALSE,48@college.edu,"Dear 48, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
49,172,0,161,11,1,0,172,93.60465116,FALSE,49@college.edu,"Dear 49, your attendance is 93.6% (161/172). Good Attendance, keep it up!"
50,172,0,143,29,1,0,172,83.13953488,FALSE,50@college.edu,"Dear 50, your attendance is 83.1% (143/172). Good Attendance, keep it up!"
51,172,0,155,17,1,0,172,90.11627907,FALSE,51@college.edu,"Dear 51, your attendance is 90.1% (155/172). Good Attendance, keep it up!"
52,173,0,163,10,1,0,173,94.21965318,FALSE,52@college.edu,"Dear 52, your attendance is 94.2% (163/173). Good Attendance, keep it up!"
53,173,0,158,15,1,0,173,91.32947977,FALSE,53@college.edu,"Dear 53, your attendance is 91.3% (158/173). Good Attendance, keep it up!"
54,173,0,160,13,1,0,173,92.48554913,FALSE,54@college.edu,"Dear 54, your attendance is 92.5% (160/173). Good Attendance, keep it up!"
55,173,0,166,7,1,0,173,95.95375723,FALSE,55@college.edu,"Dear 55, your attendance is 96.0% (166/173). Good Attendance, keep it up!"
56,173,0,160,13,1,0,173,92.48554913,FALSE,56@college.edu,"Dear 56, your attendance is 92.5% (160/173). Good Attendance, keep it up!"
57,173,0,164,9,1,0,173,94.79768786,FALSE,57@college.edu,"Dear 57, your attendance is 94.8% (164/173). Good Attendance, keep it up!"
58,173,0,166,7,1,0,173,95.95375723,FALSE,58@college.edu,"Dear 58, your attendance is 96.0% (166/173). Good Attendance, keep it up!"
59,173,0,169,4,1,0,173,97.68786127,FALSE,59@college.edu,"Dear 59, your attendance is 97.7% (169/173). Good Attendance, keep it up!"
60,173,0,164,9,1,0,173,94.79768786,FALSE,60@college.edu,"Dear 60, your attendance is 94.8% (164/173). Good Attendance, keep it up!"
61,173,0,161,12,1,0,173,93.06358382,FALSE,61@college.edu,"Dear 61, your attendance is 93.1% (161/173). Good Attendance, keep it up!"
62,173,0,161,12,1,0,173,93.06358382,FALSE,62@college.edu,"Dear 62, your attendance is 93.1% (161/173). Good Attendance, keep it up!"
63,173,0,166,7,1,0,173,95.95375723,FALSE,63@college.edu,"Dear 63, your attendance is 96.0% (166/173). Good Attendance, keep it up!"
64,173,0,168,5,1,0,173,97.10982659,FALSE,64@college.edu,"Dear 64, your attendance is 97.1% (168/173). Good Attendance, keep it up!"
65,176,0,170,6,1,0,176,96.59090909,FALSE,65@college.edu,"Dear 65, your attendance is 96.6% (170/176). Good Attendance, keep it up!"
66,174,0,158,16,1,0,174,90.8045977,FALSE,66@college.edu,"Dear 66, your attendance is 90.8% (158/174). Good Attendance, keep it up!"
67,174,0,163,11,1,0,174,93.67816092,FALSE,67@college.edu,"Dear 67, your attendance is 93.7% (163/174). Good Attendance, keep it up!"
68,175,0,152,23,1,0,175,86.85714286,FALSE,68@college.edu,"Dear 68, your attendance is 86.9% (152/175). Good Attendance, keep it up!"
69,175,0,151,24,1,0,175,86.28571429,FALSE,69@college.edu,"Dear 69, your attendance is 86.3% (151/175). Good Attendance, keep it up!"
70,175,0,135,40,1,0,175,77.14285714,FALSE,70@college.edu,"Dear 70, your attendance is 77.1% (135/175). Good Attendance, keep it up!"
71,176,0,145,31,1,0,176,82.38636364,FALSE,71@college.edu,"Dear 71, your attendance is 82.4% (145/176). Good Attendance, keep it up!"
72,176,0,155,21,1,0,176,88.06818182,FALSE,72@college.edu,"Dear 72, your attendance is 88.1% (155/176). Good Attendance, keep it up!"
73,176,0,161,15,1,0,176,91.47727273,FALSE,73@college.edu,"Dear 73, your attendance is 91.5% (161/176). Good Attendance, keep it up!"
74,174,0,164,10,1,0,174,94.25287356,FALSE,74@college.edu,"Dear 74, your attendance is 94.3% (164/174). Good Attendance, keep it up!"
75,174,0,161,13,1,0,174,92.52873563,FALSE,75@college.edu,"Dear 75, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
76,174,0,163,11,1,0,174,93.67816092,FALSE,76@college.edu,"Dear 76, your attendance is 93.7% (163/174). Good Attendance, keep it up!"
77,175,0,169,6,1,0,175,96.57142857,FALSE,77@college.edu,"Dear 77, your attendance is 96.6% (169/175). Good Attendance, keep it up!"
78,174,0,168,6,1,0,174,96.55172414,FALSE,78@college.edu,"Dear 78, your attendance is 96.6% (168/174). Good Attendance, keep it up!"
79,174,0,160,14,1,0,174,91.95402299,FALSE,79@college.edu,"Dear 79, your attendance is 92.0% (160/174). Good Attendance, keep it up!"
80,174,0,161,13,1,0,174,92.52873563,FALSE,80@college.edu,"Dear 80, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
81,174,0,167,7,1,0,174,95.97701149,FALSE,81@college.edu,"Dear 81, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
82,174,0,162,12,1,0,174,93.10344828,FALSE,82@college.edu,"Dear 82, your attendance is 93.1% (162/174). Good Attendance, keep it up!"
83,174,0,159,15,1,0,174,91.37931034,FALSE,83@college.edu,"Dear 83, your attendance is 91.4% (159/174). Good Attendance, keep it up!"
84,173,0,150,23,1,0,173,86.70520231,FALSE,84@college.edu,"Dear 84, your attendance is 86.7% (150/173). Good Attendance, keep it up!"
85,173,0,154,19,1,0,173,89.01734104,FALSE,85@college.edu,"Dear 85, your attendance is 89.0% (154/173). Good Attendance, keep it up!"
86,173,0,155,18,1,0,173,89.59537572,FALSE,86@college.edu,"Dear 86, your attendance is 89.6% (155/173). Good Attendance, keep it up!"
87,173,0,158,15,1,0,173,91.32947977,FALSE,87@college.edu,"Dear 87, your attendance is 91.3% (158/173). Good Attendance, keep it up!"
88,175,0,165,10,1,0,175,94.28571429,FALSE,88@college.edu,"Dear 88, your attendance is 94.3% (165/175). Good Attendance, keep it up!"
89,174,0,167,7,1,0,174,95.97701149,FALSE,89@college.edu,"Dear 89, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
90,174,0,157,17,1,0,174,90.22988506,FALSE,90@college.edu,"Dear 90, your attendance is 90.2% (157/174). Good Attendance, keep it up!"
91,174,11,111,52,1,0,163,68.09815951,TRUE,91@college.edu,"Dear 91, your attendance is 68.1% (111/163). Please improve to reach at least 75%."
92,175,0,154,21,1,0,175,88,FALSE,92@college.edu,"Dear 92, your attendance is 88.0% (154/175). Good Attendance, keep it up!"
93,175,0,153,22,1,0,175,87.42857143,FALSE,93@college.edu,"Dear 93, your attendance is 87.4% (153/175). Good Attendance, keep it up!"
94,175,0,151,24,1,0,175,86.28571429,FALSE,94@college.edu,"Dear 94, your attendance is 86.3% (151/175). Good Attendance, keep it up!"
95,175,0,153,22,1,0,175,87.42857143,FALSE,95@college.edu,"Dear 95, your attendance is 87.4% (153/175). Good Attendance, keep it up!"
96,175,0,137,38,1,0,175,78.28571429,FALSE,96@college.edu,"Dear 96, your attendance is 78.3% (137/175). Good Attendance, keep it up!"
97,175,0,154,21,1,0,175,88,FALSE,97@college.edu,"Dear 97, your attendance is 88.0% (154/175). Good Attendance, keep it up!"
98,175,0,148,27,1,0,175,84.57142857,FALSE,98@college.edu,"Dear 98, your attendance is 84.6% (148/175). Good Attendance, keep it up!"
99,175,0,164,11,1,0,175,93.71428571,FALSE,99@college.edu,"Dear 99, your attendance is 93.7% (164/175). Good Attendance, keep it up!"
100,175,0,172,3,1,0,175,98.28571429,FALSE,100@college.edu,"Dear 100, your attendance is 98.3% (172/175). Good Attendance, keep it up!"
101,174,0,161,13,1,0,174,92.52873563,FALSE,101@college.edu,"Dear 101, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
102,174,0,156,18,1,0,174,89.65517241,FALSE,102@college.edu,"Dear 102, your attendance is 89.7% (156/174). Good Attendance, keep it up!"
103,174,0,165,9,1,0,174,94.82758621,FALSE,103@college.edu,"Dear 103, your attendance is 94.8% (165/174). Good Attendance, keep it up!"
104,174,0,162,12,1,0,174,93.10344828,FALSE,104@college.edu,"Dear 104, your attendance is 93.1% (162/174). Good Attendance, keep it up!"
105,174,0,167,7,1,0,174,95.97701149,FALSE,105@college.edu,"Dear 105, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
106,174,0,158,16,1,0,174,90.8045977,FALSE,106@college.edu,"Dear 106, your attendance is 90.8% (158/174). Good Attendance, keep it up!"
107,174,0,167,7,1,0,174,95.97701149,FALSE,107@college.edu,"Dear 107, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
108,174,0,165,9,1,0,174,94.82758621,FALSE,108@college.edu,"Dear 108, your attendance is 94.8% (165/174). Good Attendance, keep it up!"
109,175,0,163,12,1,0,175,93.14285714,FALSE,109@college.edu,"Dear 109, your attendance is 93.1% (163/175). Good Attendance, keep it up!"
110,175,0,165,10,1,0,175,94.28571429,FALSE,110@college.edu,"Dear 110, your attendance is 94.3% (165/175). Good Attendance, keep it up!"
111,175,0,157,18,1,0,175,89.71428571,FALSE,111@college.edu,"Dear 111, your attendance is 89.7% (157/175). Good Attendance, keep it up!"
112,175,0,166,9,1,0,175,94.85714286,FALSE,112@college.edu,"Dear 112, your attendance is 94.9% (166/175). Good Attendance, keep it up!"
113,175,0,166,9,1,0,175,94.85714286,FALSE,113@college.edu,"Dear 113, your attendance is 94.9% (166/175). Good Attendance, keep it up!"
114,175,0,139,36,1,0,175,79.42857143,FALSE,114@college.edu,"Dear 114, your attendance is 79.4% (139/175). Good Attendance, keep it up!"
115,175,0,163,12,1,0,175,93.14285714,FALSE,115@college.edu,"Dear 115, your attendance is 93.1% (163/175). Good Attendance, keep it up!"
116,175,0,164,11,1,0,175,93.71428571,FALSE,116@college.edu,"Dear 116, your attendance is 93.7% (164/175). Good Attendance, keep it up!"
117,175,0,166,9,1,0,175,94.85714286,FALSE,117@college.edu,"Dear 117, your attendance is 94.9% (166/175). Good Attendance, keep it up!"
118,175,0,165,10,1,0,175,94.28571429,FALSE,118@college.edu,"Dear 118, your attendance is 94.3% (165/175). Good Attendance, keep it up!"
119,175,0,162,13,1,0,175,92.57142857,FALSE,119@college.edu,"Dear 119, your attendance is 92.6% (162/175). Good Attendance, keep it up!"
120,175,0,156,19,1,0,175,89.14285714,FALSE,120@college.edu,"Dear 120, your attendance is 89.1% (156/175). Good Attendance, keep it up!"
121,175,0,164,11,1,0,175,93.71428571,FALSE,121@college.edu,"Dear 121, your attendance is 93.7% (164/175). Good Attendance, keep it up!"
122,175,0,165,10,1,0,175,94.28571429,FALSE,122@college.edu,"Dear 122, your attendance is 94.3% (165/175). Good Attendance, keep it up!"
123,177,0,165,12,1,0,177,93.22033898,FALSE,123@college.edu,"Dear 123, your attendance is 93.2% (165/177). Good Attendance, keep it up!"
124,177,0,168,9,1,0,177,94.91525424,FALSE,124@college.edu,"Dear 124, your attendance is 94.9% (168/177). Good Attendance, keep it up!"
125,177,0,166,11,1,0,177,93.78531073,FALSE,125@college.edu,"Dear 125, your attendance is 93.8% (166/177). Good Attendance, keep it up!"
126,175,0,157,18,1,0,175,89.71428571,FALSE,126@college.edu,"Dear 126, your attendance is 89.7% (157/175). Good Attendance, keep it up!"
127,175,0,167,8,1,0,175,95.42857143,FALSE,127@college.edu,"Dear 127, your attendance is 95.4% (167/175). Good Attendance, keep it up!"
128,175,0,165,10,1,0,175,94.28571429,FALSE,128@college.edu,"Dear 128, your attendance is 94.3% (165/175). Good Attendance, keep it up!"
129,175,0,164,11,1,0,175,93.71428571,FALSE,129@college.edu,"Dear 129, your attendance is 93.7% (164/175). Good Attendance, keep it up!"
130,175,0,165,10,1,0,175,94.28571429,FALSE,130@college.edu,"Dear 130, your attendance is 94.3% (165/175). Good Attendance, keep it up!"
131,173,0,166,7,1,0,173,95.95375723,FALSE,131@college.edu,"Dear 131, your attendance is 96.0% (166/173). Good Attendance, keep it up!"
132,173,0,165,8,1,0,173,95.37572254,FALSE,132@college.edu,"Dear 132, your attendance is 95.4% (165/173). Good Attendance, keep it up!"
133,173,0,165,8,1,0,173,95.37572254,FALSE,133@college.edu,"Dear 133, your attendance is 95.4% (165/173). Good Attendance, keep it up!"
134,173,0,165,8,1,0,173,95.37572254,FALSE,134@college.edu,"Dear 134, your attendance is 95.4% (165/173). Good Attendance, keep it up!"
135,173,0,157,16,1,0,173,90.75144509,FALSE,135@college.edu,"Dear 135, your attendance is 90.8% (157/173). Good Attendance, keep it up!"
136,173,0,167,6,1,0,173,96.53179191,FALSE,136@college.edu,"Dear 136, your attendance is 96.5% (167/173). Good Attendance, keep it up!"
137,174,0,169,5,1,0,174,97.12643678,FALSE,137@college.edu,"Dear 137, your attendance is 97.1% (169/174). Good Attendance, keep it up!"
138,174,0,168,6,1,0,174,96.55172414,FALSE,138@college.edu,"Dear 138, your attendance is 96.6% (168/174). Good Attendance, keep it up!"
139,173,0,160,13,1,0,173,92.48554913,FALSE,139@college.edu,"Dear 139, your attendance is 92.5% (160/173). Good Attendance, keep it up!"
140,173,0,153,20,1,0,173,88.43930636,FALSE,140@college.edu,"Dear 140, your attendance is 88.4% (153/173). Good Attendance, keep it up!"
141,173,0,166,7,1,0,173,95.95375723,FALSE,141@college.edu,"Dear 141, your attendance is 96.0% (166/173). Good Attendance, keep it up!"
142,173,0,169,4,1,0,173,97.68786127,FALSE,142@college.edu,"Dear 142, your attendance is 97.7% (169/173). Good Attendance, keep it up!"
143,173,0,169,4,1,0,173,97.68786127,FALSE,143@college.edu,"Dear 143, your attendance is 97.7% (169/173). Good Attendance, keep it up!"
144,175,0,169,6,1,0,175,96.57142857,FALSE,144@college.edu,"Dear 144, your attendance is 96.6% (169/175). Good Attendance, keep it up!"
145,175,0,164,11,1,0,175,93.71428571,FALSE,145@college.edu,"Dear 145, your attendance is 93.7% (164/175). Good Attendance, keep it up!"
146,174,0,164,10,1,0,174,94.25287356,FALSE,146@college.edu,"Dear 146, your attendance is 94.3% (164/174). Good Attendance, keep it up!"
147,174,0,167,7,1,0,174,95.97701149,FALSE,147@college.edu,"Dear 147, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
148,174,0,165,9,1,0,174,94.82758621,FALSE,148@college.edu,"Dear 148, your attendance is 94.8% (165/174). Good Attendance, keep it up!"
149,174,0,161,13,1,0,174,92.52873563,FALSE,149@college.edu,"Dear 149, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
150,174,0,161,13,1,0,174,92.52873563,FALSE,150@college.edu,"Dear 150, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
151,174,0,162,12,1,0,174,93.10344828,FALSE,151@college.edu,"Dear 151, your attendance is 93.1% (162/174). Good Attendance, keep it up!"
152,174,10,156,8,1,0,164,95.12195122,FALSE,152@college.edu,"Dear 152, your attendance is 95.1% (156/164). Good Attendance, keep it up!"
153,174,0,163,11,1,0,174,93.67816092,FALSE,153@college.edu,"Dear 153, your attendance is 93.7% (163/174). Good Attendance, keep it up!"
154,174,0,164,10,1,0,174,94.25287356,FALSE,154@college.edu,"Dear 154, your attendance is 94.3% (164/174). Good Attendance, keep it up!"
155,174,0,167,7,1,0,174,95.97701149,FALSE,155@college.edu,"Dear 155, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
156,174,0,171,3,1,0,174,98.27586207,FALSE,156@college.edu,"Dear 156, your attendance is 98.3% (171/174). Good Attendance, keep it up!"
157,174,0,166,8,1,0,174,95.40229885,FALSE,157@college.edu,"Dear 157, your attendance is 95.4% (166/174). Good Attendance, keep it up!"
158,174,0,165,9,1,0,174,94.82758621,FALSE,158@college.edu,"Dear 158, your attendance is 94.8% (165/174). Good Attendance, keep it up!"
159,174,0,167,7,1,0,174,95.97701149,FALSE,159@college.edu,"Dear 159, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
160,172,0,165,7,1,0,172,95.93023256,FALSE,160@college.edu,"Dear 160, your attendance is 95.9% (165/172). Good Attendance, keep it up!"
161,172,0,166,6,1,0,172,96.51162791,FALSE,161@college.edu,"Dear 161, your attendance is 96.5% (166/172). Good Attendance, keep it up!"
162,172,0,165,7,1,0,172,95.93023256,FALSE,162@college.edu,"Dear 162, your attendance is 95.9% (165/172). Good Attendance, keep it up!"
163,172,0,166,6,1,0,172,96.51162791,FALSE,163@college.edu,"Dear 163, your attendance is 96.5% (166/172). Good Attendance, keep it up!"
164,174,0,168,6,1,0,174,96.55172414,FALSE,164@college.edu,"Dear 164, your attendance is 96.6% (168/174). Good Attendance, keep it up!"
165,174,0,164,10,1,0,174,94.25287356,FALSE,165@college.edu,"Dear 165, your attendance is 94.3% (164/174). Good Attendance, keep it up!"
166,175,0,165,10,1,0,175,94.28571429,FALSE,166@college.edu,"Dear 166, your attendance is 94.3% (165/175). Good Attendance, keep it up!"
167,175,0,160,15,1,0,175,91.42857143,FALSE,167@college.edu,"Dear 167, your attendance is 91.4% (160/175). Good Attendance, keep it up!"
168,175,0,163,12,1,0,175,93.14285714,FALSE,168@college.edu,"Dear 168, your attendance is 93.1% (163/175). Good Attendance, keep it up!"
169,175,0,161,14,1,0,175,92,FALSE,169@college.edu,"Dear 169, your attendance is 92.0% (161/175). Good Attendance, keep it up!"
170,175,0,166,9,1,0,175,94.85714286,FALSE,170@college.edu,"Dear 170, your attendance is 94.9% (166/175). Good Attendance, keep it up!"
171,174,0,163,11,1,0,174,93.67816092,FALSE,171@college.edu,"Dear 171, your attendance is 93.7% (163/174). Good Attendance, keep it up!"
172,174,0,156,18,1,0,174,89.65517241,FALSE,172@college.edu,"Dear 172, your attendance is 89.7% (156/174). Good Attendance, keep it up!"
173,174,0,163,11,1,0,174,93.67816092,FALSE,173@college.edu,"Dear 173, your attendance is 93.7% (163/174). Good Attendance, keep it up!"
174,174,0,153,21,1,0,174,87.93103448,FALSE,174@college.edu,"Dear 174, your attendance is 87.9% (153/174). Good Attendance, keep it up!"
175,174,0,147,27,1,0,174,84.48275862,FALSE,175@college.edu,"Dear 175, your attendance is 84.5% (147/174). Good Attendance, keep it up!"
176,174,0,153,21,1,0,174,87.93103448,FALSE,176@college.edu,"Dear 176, your attendance is 87.9% (153/174). Good Attendance, keep it up!"
177,174,0,137,37,1,0,174,78.73563218,FALSE,177@college.edu,"Dear 177, your attendance is 78.7% (137/174). Good Attendance, keep it up!"
178,174,0,129,45,1,0,174,74.13793103,TRUE,178@college.edu,"Dear 178, your attendance is 74.1% (129/174). Please improve to reach at least 75%."
179,243,0,222,21,1,0,243,91.35802469,FALSE,179@college.edu,"Dear 179, your attendance is 91.4% (222/243). Good Attendance, keep it up!"
180,244,0,221,23,1,0,244,90.57377049,FALSE,180@college.edu,"Dear 180, your attendance is 90.6% (221/244). Good Attendance, keep it up!"
181,246,0,232,14,1,0,246,94.30894309,FALSE,181@college.edu,"Dear 181, your attendance is 94.3% (232/246). Good Attendance, keep it up!"
182,244,0,231,13,1,0,244,94.67213115,FALSE,182@college.edu,"Dear 182, your attendance is 94.7% (231/244). Good Attendance, keep it up!"
183,246,0,234,12,1,0,246,95.12195122,FALSE,183@college.edu,"Dear 183, your attendance is 95.1% (234/246). Good Attendance, keep it up!"
184,247,0,239,8,1,0,247,96.7611336,FALSE,184@college.edu,"Dear 184, your attendance is 96.8% (239/247). Good Attendance, keep it up!"
185,247,0,233,14,1,0,247,94.33198381,FALSE,185@college.edu,"Dear 185, your attendance is 94.3% (233/247). Good Attendance, keep it up!"
186,247,0,231,16,1,0,247,93.52226721,FALSE,186@college.edu,"Dear 186, your attendance is 93.5% (231/247). Good Attendance, keep it up!"
187,248,0,231,17,1,0,248,93.14516129,FALSE,187@college.edu,"Dear 187, your attendance is 93.1% (231/248). Good Attendance, keep it up!"
188,249,0,231,18,1,0,249,92.77108434,FALSE,188@college.edu,"Dear 188, your attendance is 92.8% (231/249). Good Attendance, keep it up!"
189,249,0,237,12,1,0,249,95.18072289,FALSE,189@college.edu,"Dear 189, your attendance is 95.2% (237/249). Good Attendance, keep it up!"
190,249,0,232,17,1,0,249,93.17269076,FALSE,190@college.edu,"Dear 190, your attendance is 93.2% (232/249). Good Attendance, keep it up!"
191,249,0,232,17,1,0,249,93.17269076,FALSE,191@college.edu,"Dear 191, your attendance is 93.2% (232/249). Good Attendance, keep it up!"
192,249,0,243,6,1,0,249,97.59036145,FALSE,192@college.edu,"Dear 192, your attendance is 97.6% (243/249). Good Attendance, keep it up!"
193,249,0,230,19,1,0,249,92.36947791,FALSE,193@college.edu,"Dear 193, your attendance is 92.4% (230/249). Good Attendance, keep it up!"
194,248,0,237,11,1,0,248,95.56451613,FALSE,194@college.edu,"Dear 194, your attendance is 95.6% (237/248). Good Attendance, keep it up!"
195,248,0,241,7,1,0,248,97.17741935,FALSE,195@college.edu,"Dear 195, your attendance is 97.2% (241/248). Good Attendance, keep it up!"
196,248,247,1,0,1,0,1,100,FALSE,196@college.edu,"Dear 196, your attendance is 100.0% (1/1). Good Attendance, keep it up!"
197,248,0,147,101,1,0,248,59.27419355,TRUE,197@college.edu,"Dear 197, your attendance is 59.3% (147/248). Please improve to reach at least 75%."
